Pri-2012,,,,
Age,Male EE,Male HA,Female EE,Female HA
15,0.00028,0.00028,0.00013,0.00013
16,0.00034,0.00034,0.00014,0.00014
17,0.0004,0.0004,0.00015,0.00015
18,0.00046,0.00046,0.00015,0.00015
19,0.00053,0.00053,0.00015,0.00015
20,0.00056,0.00056,0.00015,0.00015
21,0.00056,0.00056,0.00015,0.00015
22,0.00056,0.00056,0.00016,0.00016
23,0.00055,0.00055,0.00018,0.00018
24,0.00055,0.00055,0.00019,0.00019
25,0.00054,0.00054,0.00019,0.00019
26,0.00054,0.00054,0.00019,0.00019
27,0.00054,0.00054,0.0002,0.0002
28,0.00054,0.00054,0.0002,0.0002
29,0.00054,0.00054,0.0002,0.0002
30,0.00055,0.00055,0.00021,0.00021
31,0.00055,0.00055,0.00022,0.00022
32,0.00056,0.00056,0.00023,0.00023
33,0.00058,0.00058,0.00025,0.00025
34,0.00059,0.00059,0.00026,0.00026
35,0.00061,0.00061,0.00028,0.00028
36,0.00063,0.00063,0.00031,0.00031
37,0.00065,0.00065,0.00034,0.00034
38,0.00068,0.00068,0.00036,0.00036
39,0.00071,0.00071,0.0004,0.0004
40,0.00074,0.00074,0.00043,0.00043
41,0.00077,0.00082,0.00047,0.00049
42,0.00081,0.00099,0.00051,0.00061
43,0.00086,0.00124,0.00055,0.00078
44,0.00091,0.00158,0.0006,0.00101
45,0.00097,0.002,0.00065,0.0013
46,0.00105,0.00251,0.00071,0.00165
47,0.00113,0.0031,0.00077,0.00206
48,0.00123,0.00378,0.00083,0.00252
49,0.00134,0.00454,0.0009,0.00304
50,0.00147,0.00539,0.00098,0.00362
51,0.00161,0.00544,0.00107,0.00426
52,0.00177,0.00565,0.00116,0.00495
53,0.00194,0.00588,0.00126,0.005
54,0.00213,0.00616,0.00137,0.00512
55,0.00234,0.00647,0.00148,0.00517
56,0.00257,0.00686,0.00161,0.00522
57,0.00281,0.00728,0.00175,0.00528
58,0.00308,0.0077,0.0019,0.00561
59,0.00338,0.00811,0.00206,0.00601
60,0.00369,0.00848,0.00224,0.00643
61,0.00403,0.00882,0.00243,0.0069
62,0.00441,0.00918,0.00264,0.00743
63,0.00481,0.0096,0.00287,0.00796
64,0.00525,0.01014,0.00312,0.00859
65,0.00573,0.01087,0.00339,0.00928
66,0.00636,0.01178,0.0038,0.01003
67,0.00706,0.01288,0.00427,0.01089
68,0.00784,0.01418,0.0048,0.01192
69,0.0087,0.01564,0.0054,0.01309
70,0.00967,0.01729,0.00606,0.01444
71,0.01073,0.01914,0.00681,0.01597
72,0.01192,0.02121,0.00765,0.0177
73,0.01323,0.02354,0.0086,0.01967
74,0.01469,0.02613,0.00966,0.02192
75,0.01632,0.02905,0.01085,0.02445
76,0.01812,0.03233,0.01219,0.02727
77,0.02012,0.03604,0.0137,0.03042
78,0.02234,0.04026,0.01539,0.03391
79,0.0248,0.04504,0.01729,0.03775
80,0.02754,0.05046,0.01943,0.04198
81,0.02989,0.05657,0.02134,0.04663
82,0.0346,0.06343,0.02516,0.05178
83,0.04166,0.07114,0.03089,0.05754
84,0.05108,0.07977,0.03853,0.06401
85,0.06285,0.08946,0.04808,0.07132
86,0.07698,0.10032,0.05955,0.07954
87,0.09346,0.11248,0.07293,0.08879
88,0.11229,0.126,0.08822,0.09936
89,0.13348,0.14088,0.10542,0.11124
90,0.15703,0.15703,0.12453,0.12453
91,0.17401,0.17401,0.13818,0.13818
92,0.19151,0.19151,0.1525,0.1525
93,0.20936,0.20936,0.16737,0.16737
94,0.22742,0.22742,0.18274,0.18274
95,0.24569,0.24569,0.19863,0.19863
96,0.26415,0.26415,0.21509,0.21509
97,0.28281,0.28281,0.23214,0.23214
98,0.30169,0.30169,0.24983,0.24983
99,0.32077,0.32077,0.26814,0.26814
100,0.33996,0.33996,0.28698,0.28698
101,0.3591,0.3591,0.30619,0.30619
102,0.37794,0.37794,0.32549,0.32549
103,0.39633,0.39633,0.34472,0.34472
104,0.41415,0.41415,0.36375,0.36375
105,0.43131,0.43131,0.38243,0.38243
106,0.44771,0.44771,0.40065,0.40065
107,0.46329,0.46329,0.41828,0.41828
108,0.478,0.478,0.43522,0.43522
109,0.49181,0.49181,0.45139,0.45139
110,0.5,0.5,0.46673,0.46673
111,0.5,0.5,0.4812,0.4812
112,0.5,0.5,0.49477,0.49477
113,0.5,0.5,0.5,0.5
114,0.5,0.5,0.5,0.5
115,0.5,0.5,0.5,0.5
116,0.5,0.5,0.5,0.5
117,0.5,0.5,0.5,0.5
118,0.5,0.5,0.5,0.5
119,0.5,0.5,0.5,0.5
120,1,1,1,1
